[combat] time=0.268 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x0096;bytes=86;hex=0A0000000000000000000000004400000057656C636F6D6520746F20576F726C64206F66205761726372616674210A506174636820312E31323A204472756D73206F6620576172206973206E6F77206C697665210000
[combat] time=0.269 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x01CB;bytes=14;hex=474D206D6F6465206973204F4E00
[combat] time=0.269 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x01CB;bytes=31;hex=596F7520617265206E6F7720696E76697369626C65202872616E6B20362900
[combat] time=0.272 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=Welcome_to_World_of_Warcraft!Patch_1.12:_Drums_of_War_is_now_live!
[action] time=0.449 slot=0 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.450 slot=1 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.450 slot=2 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.450 slot=3 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.450 slot=4 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.450 slot=5 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.450 slot=6 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.450 slot=7 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.450 slot=8 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.450 slot=9 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.450 slot=10 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.450 slot=11 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[combat] time=0.514 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=GM_mode_is_ON
[combat] time=0.514 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=You_are_now_invisible_(rank_6)
[portrait] time=9.853 subject=Player outcome=Ready camera=Authored authoredRetried=False subjectPx=42354 rgb=0..255 alpha=180..255 pieces=11 displayId=0 bindPoseHeight=2.0352 eyeHeight=0.0000 distance=0.0000 fovyDeg=27.0000 near=0.2222
[combat] time=10.403 event=GmChatWire cause=client-send target=0x0000000000000000 detail=opcode=0x0095;bytes=44;hex=00000000070000002E676F2078797A202D383934392E3935202D3133322E3439332038332E35333132203000
[combat] time=10.403 event=GmCommand cause=live-bootstrap target=0x0000000000000000 detail=sent=True;text=.go_xyz_-8949.95_-132.493_83.5312_0
[combat] time=10.626 event=TeleportWire cause=server-receive target=0x0000000000000000 detail=opcode=0x00C7;bytes=34;hex=01010000000000000000721C2F01CDD70BC6357E04C3F90FA74276BE2F4013000000
[combat] time=10.631 event=TeleportApplied cause=server-authoritative target=0x0000000000000001 detail=counter=0;position=-8949.95|-132.493|83.5312;orientation=2.7459998;movementTime=19864690;flags=0x00000000
[combat] time=10.631 event=TeleportWire cause=client-send target=0x0000000000000000 detail=opcode=0x00C7;bytes=16;hex=01000000000000000000000087290000
[combat] time=10.663 event=GmChatWire cause=client-send target=0x0000000000000000 detail=opcode=0x0095;bytes=15;hex=00000000070000002E676D206F6E00
[combat] time=10.663 event=GmCommand cause=protocol-runner target=0x0000000000000000 detail=sent=True;text=.gm_on
[anim] time=10.783 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.783 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.783 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.813 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.813 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.813 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.813 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.813 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.813 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.813 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.813 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.814 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.814 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.814 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.814 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.830 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.830 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.830 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.830 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.830 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.830 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.830 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.830 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.830 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.830 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.830 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.830 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.847 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.847 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.847 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.847 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.847 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.847 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.847 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.847 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.847 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.847 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.847 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.847 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.863 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.864 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.864 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.864 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.864 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.864 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.864 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.864 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.864 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.864 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.864 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.864 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.880 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.880 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.880 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.880 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.880 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.880 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.880 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.880 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.880 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.880 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.880 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.880 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.897 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.897 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.897 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.897 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.897 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.897 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.897 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.897 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.897 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.897 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.897 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.897 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.914 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.914 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.914 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.914 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.914 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.914 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.914 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.914 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.914 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.914 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.914 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.914 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.930 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.930 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.930 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.930 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.930 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.930 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.930 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.930 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.930 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.930 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.930 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.930 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.932 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.932 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.932 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.932 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.932 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.932 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.932 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.932 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.932 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.932 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.932 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.932 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.947 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.947 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.947 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.947 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.948 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.948 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.948 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.948 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.948 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.948 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.948 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.948 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.964 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.964 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.964 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.964 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.964 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.964 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.964 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.964 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.964 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.964 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.964 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.964 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.981 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.981 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.981 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.981 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.981 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.981 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.981 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.981 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.981 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.981 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.981 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.981 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=11.013 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=11.014 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.014 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=11.014 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.014 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.014 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.014 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.014 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.014 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=11.014 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.014 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.014 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=11.030 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=11.031 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.031 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=11.031 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.031 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.031 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.031 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.031 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.031 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=11.031 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.031 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.031 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=11.047 unit=creature:328 track=0 requested=0 played=0 kind=Exact
